Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,tissue
SRR27534519,embryonic day 14.5,RNA-Seq,200,5880383200,PRJNA1063246,SAMN39423903,3217384382,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23204399,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010393,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:20:00Z,1,GSM8010393,female,Telencephalon,SRP483514,Telencephalon
SRR27534520,embryonic day 14.5,RNA-Seq,200,7218608400,PRJNA1063246,SAMN39423904,3925855781,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23204398,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010392,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:20:00Z,1,GSM8010392,female,Telencephalon,SRP483514,Telencephalon
SRR27534521,embryonic day 14.5,RNA-Seq,200,6373114400,PRJNA1063246,SAMN39423905,3418810790,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23204397,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010391,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:20:00Z,1,GSM8010391,female,Telencephalon,SRP483514,Telencephalon
SRR27534522,embryonic day 14.5,RNA-Seq,200,5470062800,PRJNA1063246,SAMN39423906,2728722539,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23204396,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010390,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:19:00Z,1,GSM8010390,male,Telencephalon,SRP483514,Telencephalon
SRR27534523,embryonic day 14.5,RNA-Seq,200,5768350600,PRJNA1063246,SAMN39423907,2834810008,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX23204395,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010389,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:20:00Z,1,GSM8010389,male,Telencephalon,SRP483514,Telencephalon
SRR27534524,embryonic day 14.5,RNA-Seq,200,4619717200,PRJNA1063246,SAMN39423908,2309834126,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23204394,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010388,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:19:00Z,1,GSM8010388,male,Telencephalon,SRP483514,Telencephalon
SRR27534525,embryonic day 11.5,RNA-Seq,200,5655783400,PRJNA1063246,SAMN39423909,2933921390,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23204393,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010387,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:19:00Z,1,GSM8010387,female,Telencephalon,SRP483514,Telencephalon
SRR27534526,embryonic day 11.5,RNA-Seq,200,5340786400,PRJNA1063246,SAMN39423910,2788370488,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23204392,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010386,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:19:00Z,1,GSM8010386,female,Telencephalon,SRP483514,Telencephalon
SRR27534527,embryonic day 11.5,RNA-Seq,200,5680865000,PRJNA1063246,SAMN39423911,2959116158,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23204391,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010385,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:19:00Z,1,GSM8010385,female,Telencephalon,SRP483514,Telencephalon
SRR27534528,embryonic day 11.5,RNA-Seq,200,5928019000,PRJNA1063246,SAMN39423912,2870134886,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23204390,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010384,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:22:00Z,1,GSM8010384,male,Telencephalon,SRP483514,Telencephalon
SRR27534529,embryonic day 11.5,RNA-Seq,200,6232887600,PRJNA1063246,SAMN39423913,2979506715,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23204389,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010383,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:20:00Z,1,GSM8010383,male,Telencephalon,SRP483514,Telencephalon
SRR27534530,embryonic day 11.5,RNA-Seq,200,5720581400,PRJNA1063246,SAMN39423914,2717105623,"OSUMI LABORATORY, DEVELOPMENTAL NEUROSCIENCE, TOHOKU UNIVERSITY GRADUATE SCHOOL OF MEDICINE",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23204388,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8010382,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-05-03T00:00:00Z,2024-01-13T03:23:00Z,1,GSM8010382,male,Telencephalon,SRP483514,Telencephalon
